TYPE,YEAR,lng,lat
Theft of Vehicle,2005,-123.066219246009,49.2207671559075
Theft of Vehicle,2003,-123.122936643782,49.2847884598866
Theft of Vehicle,2003,-123.122936643782,49.2847884598866
Theft of Vehicle,2004,-123.122936643782,49.2847884598866
Theft of Vehicle,2004,-123.122936643782,49.2847884598866
Theft of Vehicle,2004,-123.122936643782,49.2847884598866
Theft of Vehicle,2005,-123.122936643782,49.2847884598866
Theft of Vehicle,2005,-123.122936643782,49.2847884598866
Theft of Vehicle,2006,-123.122936643782,49.2847884598866
Theft of Vehicle,2013,-123.122936643782,49.2847884598866
Theft of Vehicle,2017,-123.122936643782,49.2847884598866
Theft of Vehicle,2004,-123.122824207564,49.2847148381874
Theft of Vehicle,2016,-123.122824207564,49.2847148381874
Theft of Vehicle,2013,-123.122397951427,49.2845521057899
Theft of Vehicle,2003,-123.122336988103,49.2843958097556
Theft of Vehicle,2003,-123.121812297213,49.2840522383664
Theft of Vehicle,2004,-123.121812297213,49.2840522383664
Theft of Vehicle,2004,-123.121812297213,49.2840522383664
Theft of Vehicle,2006,-123.121812297213,49.2840522383664
Theft of Vehicle,2006,-123.121812297213,49.2840522383664
Theft of Vehicle,2007,-123.121812297213,49.2840522383664
Theft of Vehicle,2008,-123.121812297213,49.2840522383664
Theft of Vehicle,2017,-123.121812297213,49.2840522383664
Theft of Vehicle,2004,-123.126558114428,49.2829008742303
Theft of Vehicle,2015,-123.126558114428,49.2829008742303
Theft of Vehicle,2004,-123.126359125973,49.2828842753367
Theft of Vehicle,2010,-123.126359125973,49.2828842753367
Theft of Vehicle,2012,-123.126359125973,49.2828842753367
Theft of Vehicle,2019,-123.126214558826,49.2827860692756
Theft of Vehicle,2003,-123.126196696397,49.2826553592686
Theft of Vehicle,2007,-123.126196696397,49.2826553592686
Theft of Vehicle,2003,-123.126142275392,49.2827369661765
Theft of Vehicle,2008,-123.126033850592,49.2826633113521
Theft of Vehicle,2003,-123.125835281885,49.2824098431632
Theft of Vehicle,2018,-123.125618434918,49.282262532915
Theft of Vehicle,2003,-123.125112463697,49.2819188074311
Theft of Vehicle,2003,-123.125112463697,49.2819188074311
Theft of Vehicle,2004,-123.125112463697,49.2819188074311
Theft of Vehicle,2005,-123.125112463697,49.2819188074311
Theft of Vehicle,2007,-123.125112463697,49.2819188074311
Theft of Vehicle,2012,-123.125112463697,49.2819188074311
Theft of Vehicle,2003,-123.134767955824,49.2768325527471
Theft of Vehicle,2003,-123.134767955824,49.2768325527471
Theft of Vehicle,2003,-123.134767955824,49.2768325527471
Theft of Vehicle,2003,-123.134767955824,49.2768325527471
Theft of Vehicle,2004,-123.134767955824,49.2768325527471
Theft of Vehicle,2004,-123.134767955824,49.2768325527471
Theft of Vehicle,2008,-123.134767955824,49.2768325527471
Theft of Vehicle,2008,-123.134767955824,49.2768325527471
Theft of Vehicle,2008,-123.134767955824,49.2768325527471
Theft of Vehicle,2009,-123.134767955824,49.2768325527471
Theft of Vehicle,2012,-123.134767955824,49.2768325527471
Theft of Vehicle,2014,-123.134767955824,49.2768325527471
Theft of Vehicle,2014,-123.134767955824,49.2768325527471
Theft of Vehicle,2018,-123.134767955824,49.2768325527471
Theft of Vehicle,2004,-123.134358318704,49.276571785819
Theft of Vehicle,2006,-123.134358318704,49.276571785819
Theft of Vehicle,2006,-123.134358318704,49.276571785819
Theft of Vehicle,2006,-123.134358318704,49.276571785819
Theft of Vehicle,2008,-123.134358318704,49.276571785819
Theft of Vehicle,2008,-123.134358318704,49.276571785819
Theft of Vehicle,2008,-123.134358318704,49.276571785819
Theft of Vehicle,2008,-123.134358318704,49.276571785819
Theft of Vehicle,2009,-123.134358318704,49.276571785819
Theft of Vehicle,2012,-123.134358318704,49.276571785819
Theft of Vehicle,2012,-123.134358318704,49.276571785819
Theft of Vehicle,2015,-123.134358318704,49.276571785819
Theft of Vehicle,2020,-123.134358318704,49.276571785819
Theft of Vehicle,2004,-123.134283999706,49.2765087031508
Theft of Vehicle,2018,-123.134011265819,49.276143519773
Theft of Vehicle,2005,-123.13392812841,49.2760728247565
Theft of Vehicle,2003,-123.133769758454,49.2759495320743
Theft of Vehicle,2003,-123.133769758454,49.2759495320743
Theft of Vehicle,2003,-123.133769758454,49.2759495320743
